,0,1,2,3,4,5,6,7,8,9,10,11
0,15.02,15.586,48.38,14.56,21.17,38.25,8.77,3.326,8.85,11.21,15.4,22.12
1,18.9,36.56,66.75,26.44,69.6,54.8,11.74,1.236,3.676,9.14,9.016,8.62
2,14.7,59.56,85.75,16.27,29.0,112.3,9.18,17.06,27.44,15.56,19.1,22.97
3,14.19,35.88,28.6,30.27,25.84,34.75,26.78,4.88,7.184,5.28,5.387,7.508
4,24.92,29.17,27.86,33.2,14.2,27.62,6.492,3.283,9.47,5.047,4.742,6.605
5,22.08,17.89,15.3,13.81,15.96,5.176,38.56,3.312,19.39,24.77,8.59,3.959
6,3.467,13.75,3.213,6.258,3.656,4.16,8.11,17.03,17.16,15.83,6.555,6.37
7,10.19,26.17,14.55,15.195,10.92,42.34,1.175,5.184,4.098,6.34,8.414,7.316
8,31.06,49.56,36.8,35.97,38.75,31.42,8.734,5.273,6.08,10.41,10.805,13.87
9,12.84,4.88,14.82,7.2,34.0,4.363,8.5,3.516,7.61,11.36,4.42,5.39
10,17.61,73.0,92.75,44.16,92.06,95.7,10.29,5.434,51.25,17.14,10.695,8.53
11,19.36,30.72,33.72,22.92,36.47,30.14,8.06,2.459,26.02,16.42,14.91,21.95
12,30.86,45.0,30.1,30.53,14.914,40.28,11.055,2.451,13.586,27.69,23.98,14.26
13,15.69,5.81,27.77,7.082,64.75,6.14,8.78,3.99,11.29,3.615,4.92,7.617
14,20.66,17.4,42.66,14.945,89.44,27.55,12.05,11.945,18.58,10.65,9.88,20.33
15,32.28,52.6,27.19,52.88,8.87,41.4,81.5,24.19,23.5,21.11,21.44,29.55
16,12.24,96.56,58.1,34.66,11.766,127.94,8.39,9.06,15.95,37.78,22.4,17.89
17,7.805,50.1,56.28,25.94,5.504,49.78,8.54,4.242,5.574,8.39,5.965,5.773
18,15.92,6.062,9.23,8.914,7.758,7.56,4.387,6.61,17.81,6.37,4.035,3.52
19,2.844,67.75,54.34,39.28,3.633,63.53,3.266,2.312,37.22,22.55,17.28,10.97
20,15.03,6.16,9.625,6.19,47.88,7.33,0.882,5.69,4.46,5.223,6.832,5.676
21,5.457,15.66,5.242,10.38,2.193,12.59,2.053,1.976,4.465,5.77,6.895,6.59
22,5.54,267.5,188.6,72.9,21.66,450.5,3.129,10.35,146.4,131.1,92.1,84.06
23,7.742,28.44,12.29,16.2,4.906,29.17,12.53,12.945,9.89,7.19,16.72,16.48
24,15.25,11.36,44.06,14.01,15.586,23.88,8.11,4.816,18.1,4.22,4.45,6.055
25,36.97,102.25,40.2,67.06,19.08,110.3,17.94,11.9,21.77,41.7,36.16,39.1
